date,segment,loan_purpose,loan_count,loan_value_million
2015-03-01,Owner-occupier,Purchase of newly erected dwellings,5497.0,2019.2
2015-03-01,Owner-occupier,Total,84847.0,32230.8
2015-06-01,Owner-occupier,"Alterations, additions and repairs",,787.4
2015-06-01,Owner-occupier,Construction of dwellings,11587.0,4248.0
2015-06-01,Owner-occupier,External refinancing,43307.0,15432.9
2015-06-01,Owner-occupier,Purchase of existing dwellings,65920.0,25801.1
2015-06-01,Owner-occupier,Purchase of newly erected dwellings,5563.0,2092.0
2015-06-01,Owner-occupier,Total,83344.0,32224.9
2015-09-01,Owner-occupier,"Alterations, additions and repairs",,815.0
2015-09-01,Owner-occupier,Construction of dwellings,11272.0,4247.6
2015-09-01,Owner-occupier,External refinancing,43842.0,16840.4
2015-09-01,Owner-occupier,Purchase of existing dwellings,69915.0,29861.8
2015-09-01,Owner-occupier,Purchase of newly erected dwellings,6048.0,2543.1
2015-09-01,Owner-occupier,Total,86819.0,36485.5
2015-12-01,Owner-occupier,"Alterations, additions and repairs",,801.4
2015-12-01,Owner-occupier,Construction of dwellings,11722.0,4379.5
2015-12-01,Owner-occupier,External refinancing,47399.0,18368.1
2015-12-01,Owner-occupier,Purchase of existing dwellings,68891.0,29724.9
2015-12-01,Owner-occupier,Purchase of newly erected dwellings,6108.0,2587.6
2015-12-01,Owner-occupier,Total,86397.0,36749.3
2016-03-01,Owner-occupier,"Alterations, additions and repairs",,803.8
2016-03-01,Owner-occupier,Construction of dwellings,11232.0,4252.7
2016-03-01,Owner-occupier,External refinancing,46570.0,17765.2
2016-03-01,Owner-occupier,Purchase of existing dwellings,67248.0,27859.0
2016-03-01,Owner-occupier,Purchase of newly erected dwellings,6407.0,2587.0
2016-03-01,Owner-occupier,Total,84638.0,34685.6
2016-06-01,Owner-occupier,"Alterations, additions and repairs",,824.6
2016-06-01,Owner-occupier,Construction of dwellings,11523.0,4476.5
2016-06-01,Owner-occupier,External refinancing,50869.0,18819.4
2016-06-01,Owner-occupier,Purchase of existing dwellings,70417.0,28690.4
2016-06-01,Owner-occupier,Purchase of newly erected dwellings,6847.0,2718.4
2016-06-01,Owner-occupier,Total,88781.0,35946.2
2016-09-01,Owner-occupier,"Alterations, additions and repairs",,823.5
2016-09-01,Owner-occupier,Construction of dwellings,11030.0,4420.2
2016-09-01,Owner-occupier,External refinancing,47207.0,17918.1
2016-09-01,Owner-occupier,Purchase of existing dwellings,65366.0,27536.5
2016-09-01,Owner-occupier,Purchase of newly erected dwellings,6395.0,2597.7
2016-09-01,Owner-occupier,Total,82555.0,34534.0
2016-12-01,Owner-occupier,"Alterations, additions and repairs",,789.4
2016-12-01,Owner-occupier,Construction of dwellings,11115.0,4486.8
2016-12-01,Owner-occupier,External refinancing,44647.0,16906.5
2016-12-01,Owner-occupier,Purchase of existing dwellings,66758.0,28437.5
2016-12-01,Owner-occupier,Purchase of newly erected dwellings,6676.0,2716.1
2016-12-01,Owner-occupier,Total,84157.0,35624.7
2017-03-01,Owner-occupier,"Alterations, additions and repairs",,850.2
2017-03-01,Owner-occupier,Construction of dwellings,11475.0,4568.8
2017-03-01,Owner-occupier,External refinancing,43553.0,16522.7
2017-03-01,Owner-occupier,Purchase of existing dwellings,71337.0,30062.8
2017-03-01,Owner-occupier,Purchase of newly erected dwellings,7064.0,2905.9
2017-03-01,Owner-occupier,Total,89515.0,37481.6
2017-06-01,Owner-occupier,"Alterations, additions and repairs",,867.8
2017-06-01,Owner-occupier,Construction of dwellings,12066.0,4877.7
2017-06-01,Owner-occupier,External refinancing,41471.0,16068.7
2017-06-01,Owner-occupier,Purchase of existing dwellings,70709.0,30239.3
2017-06-01,Owner-occupier,Purchase of newly erected dwellings,7338.0,2990.8
2017-06-01,Owner-occupier,Total,90144.0,38170.4
2017-09-01,Owner-occupier,"Alterations, additions and repairs",,882.0
2017-09-01,Owner-occupier,Construction of dwellings,12419.0,5063.0
2017-09-01,Owner-occupier,External refinancing,40924.0,15728.9
2017-09-01,Owner-occupier,Purchase of existing dwellings,73198.0,31408.0
2017-09-01,Owner-occupier,Purchase of newly erected dwellings,7693.0,3143.6
2017-09-01,Owner-occupier,Total,93187.0,39595.3
2017-12-01,Owner-occupier,"Alterations, additions and repairs",,839.7
2017-12-01,Owner-occupier,Construction of dwellings,11952.0,4885.7
2017-12-01,Owner-occupier,External refinancing,41820.0,16514.9
2017-12-01,Owner-occupier,Purchase of existing dwellings,70418.0,30925.8
2017-12-01,Owner-occupier,Purchase of newly erected dwellings,7570.0,3133.8
2017-12-01,Owner-occupier,Total,89507.0,38938.4
2018-03-01,Owner-occupier,"Alterations, additions and repairs",,758.5
2018-03-01,Owner-occupier,Construction of dwellings,11707.0,4828.5
2018-03-01,Owner-occupier,External refinancing,42032.0,16856.3
2018-03-01,Owner-occupier,Purchase of existing dwellings,68334.0,30806.8
2018-03-01,Owner-occupier,Purchase of newly erected dwellings,7400.0,3223.6
2018-03-01,Owner-occupier,Total,87168.0,38766.3
2018-06-01,Owner-occupier,"Alterations, additions and repairs",,694.3
2018-06-01,Owner-occupier,Construction of dwellings,11449.0,4765.3
2018-06-01,Owner-occupier,External refinancing,40841.0,16778.1
2018-06-01,Owner-occupier,Purchase of existing dwellings,68323.0,30973.2
2018-06-01,Owner-occupier,Purchase of newly erected dwellings,7112.0,3188.4
2018-06-01,Owner-occupier,Total,86752.0,38932.1
2018-09-01,Owner-occupier,"Alterations, additions and repairs",,642.7
2018-09-01,Owner-occupier,Construction of dwellings,11473.0,4662.6
2018-09-01,Owner-occupier,External refinancing,40739.0,16842.4
2018-09-01,Owner-occupier,Purchase of existing dwellings,65243.0,29405.4
2018-09-01,Owner-occupier,Purchase of newly erected dwellings,6395.0,2887.7
2018-09-01,Owner-occupier,Total,83267.0,37031.3
2018-12-01,Owner-occupier,"Alterations, additions and repairs",,635.3
2018-12-01,Owner-occupier,Construction of dwellings,11079.0,4499.8
2018-12-01,Owner-occupier,External refinancing,40940.0,16409.6
2018-12-01,Owner-occupier,Purchase of existing dwellings,64099.0,27874.7
2018-12-01,Owner-occupier,Purchase of newly erected dwellings,6096.0,2676.0
2018-12-01,Owner-occupier,Total,80920.0,35003.7
2019-03-01,Owner-occupier,"Alterations, additions and repairs",,608.9
2019-03-01,Owner-occupier,Construction of dwellings,10834.0,4468.9
2019-03-01,Owner-occupier,External refinancing,39058.0,15570.5
2019-03-01,Owner-occupier,Purchase of existing dwellings,59434.0,25880.1
2019-03-01,Owner-occupier,Purchase of newly erected dwellings,5143.0,2322.8
2019-03-01,Owner-occupier,Total,75314.0,32634.4
2019-06-01,Owner-occupier,"Alterations, additions and repairs",,606.5
2019-06-01,Owner-occupier,Construction of dwellings,10563.0,4314.7
2019-06-01,Owner-occupier,External refinancing,37235.0,15348.1
2019-06-01,Owner-occupier,Purchase of existing dwellings,57407.0,25627.6
2019-06-01,Owner-occupier,Purchase of newly erected dwellings,5312.0,2404.1
2019-06-01,Owner-occupier,Total,73336.0,32368.5
2019-09-01,Owner-occupier,"Alterations, additions and repairs",4815.0,635.9
2019-09-01,Owner-occupier,Construction of dwellings,10596.0,4365.1
2019-09-01,Owner-occupier,External refinancing,39443.0,17094.5
2019-09-01,Owner-occupier,Internal refinancing,30955.0,10898.6
2019-09-01,Owner-occupier,Purchase of existing dwellings,60237.0,28160.8
2019-09-01,Owner-occupier,Purchase of newly erected dwellings,5972.0,2854.9
2019-09-01,Owner-occupier,Purchase of residential land,7384.0,2025.2
2019-09-01,Owner-occupier,Total,77061.0,35489.5
2019-12-01,Owner-occupier,"Alterations, additions and repairs",4704.0,643.8
2019-12-01,Owner-occupier,Construction of dwellings,10935.0,4753.3
2019-12-01,Owner-occupier,External refinancing,42829.0,18726.4
2019-12-01,Owner-occupier,Internal refinancing,29613.0,10547.3
2019-12-01,Owner-occupier,Purchase of existing dwellings,63025.0,31316.7
2019-12-01,Owner-occupier,Purchase of newly erected dwellings,6609.0,3214.6
2019-12-01,Owner-occupier,Purchase of residential land,7749.0,2222.9
2019-12-01,Owner-occupier,Total,80517.0,39214.1
2020-03-01,Owner-occupier,"Alterations, additions and repairs",4277.0,616.3
2020-03-01,Owner-occupier,Construction of dwellings,11285.0,5018.6
2020-03-01,Owner-occupier,External refinancing,45473.0,20778.0
2020-03-01,Owner-occupier,Internal refinancing,27540.0,10054.6
2020-03-01,Owner-occupier,Purchase of existing dwellings,62412.0,31696.2
2020-03-01,Owner-occupier,Purchase of newly erected dwellings,6483.0,3231.5
2020-03-01,Owner-occupier,Purchase of residential land,7922.0,2372.0
2020-03-01,Owner-occupier,Total,80137.0,39906.7
2020-06-01,Owner-occupier,"Alterations, additions and repairs",3909.0,662.4
2020-06-01,Owner-occupier,Construction of dwellings,10819.0,4902.2
2020-06-01,Owner-occupier,External refinancing,55463.0,26077.4
2020-06-01,Owner-occupier,Internal refinancing,25692.0,9876.6
2020-06-01,Owner-occupier,Purchase of existing dwellings,53436.0,26921.0
2020-06-01,Owner-occupier,Purchase of newly erected dwellings,6512.0,3178.9
2020-06-01,Owner-occupier,Purchase of residential land,7075.0,2072.2
2020-06-01,Owner-occupier,Total,70543.0,34981.3
2020-09-01,Owner-occupier,"Alterations, additions and repairs",4246.0,691.7
2020-09-01,Owner-occupier,Construction of dwellings,14678.0,6545.6
2020-09-01,Owner-occupier,External refinancing,46858.0,21882.8
2020-09-01,Owner-occupier,Internal refinancing,25807.0,9875.4
2020-09-01,Owner-occupier,Purchase of existing dwellings,67971.0,33828.4
2020-09-01,Owner-occupier,Purchase of newly erected dwellings,7149.0,3513.0
2020-09-01,Owner-occupier,Purchase of residential land,14986.0,3848.1
2020-09-01,Owner-occupier,Total,90187.0,44043.4
2020-12-01,Owner-occupier,"Alterations, additions and repairs",4840.0,813.4
2020-12-01,Owner-occupier,Construction of dwellings,21919.0,9260.0
2020-12-01,Owner-occupier,External refinancing,45314.0,20889.2
2020-12-01,Owner-occupier,Internal refinancing,26987.0,10305.4
2020-12-01,Owner-occupier,Purchase of existing dwellings,73713.0,38270.1
2020-12-01,Owner-occupier,Purchase of newly erected dwellings,7834.0,3934.7
2020-12-01,Owner-occupier,Purchase of residential land,14476.0,4150.3
2020-12-01,Owner-occupier,Total,103304.0,51423.8
2021-03-01,Owner-occupier,"Alterations, additions and repairs",5487.0,963.4
2021-03-01,Owner-occupier,Construction of dwellings,28027.0,11997.7
2021-03-01,Owner-occupier,External refinancing,55180.0,25864.9
2021-03-01,Owner-occupier,Internal refinancing,29048.0,11517.5
2021-03-01,Owner-occupier,Purchase of existing dwellings,82755.0,44693.6
2021-03-01,Owner-occupier,Purchase of newly erected dwellings,8800.0,4571.4
2021-03-01,Owner-occupier,Purchase of residential land,12608.0,4013.8
2021-03-01,Owner-occupier,Total,119246.0,60877.0
2021-06-01,Owner-occupier,"Alterations, additions and repairs",7272.0,1355.9
2021-06-01,Owner-occupier,Construction of dwellings,19673.0,8826.0
2021-06-01,Owner-occupier,External refinancing,59337.0,28535.3
2021-06-01,Owner-occupier,Internal refinancing,31558.0,12651.7
2021-06-01,Owner-occupier,Purchase of existing dwellings,86830.0,48861.7
2021-06-01,Owner-occupier,Purchase of newly erected dwellings,8675.0,4603.7
2021-06-01,Owner-occupier,Purchase of residential land,9242.0,2954.9
2021-06-01,Owner-occupier,Total,114551.0,62251.1
2021-09-01,Owner-occupier,"Alterations, additions and repairs",8083.0,1514.3
2021-09-01,Owner-occupier,Construction of dwellings,15063.0,7249.4
2021-09-01,Owner-occupier,External refinancing,65199.0,32310.9
2021-09-01,Owner-occupier,Internal refinancing,33450.0,13842.1
2021-09-01,Owner-occupier,Purchase of existing dwellings,85099.0,50121.6
2021-09-01,Owner-occupier,Purchase of newly erected dwellings,7763.0,4318.2
2021-09-01,Owner-occupier,Purchase of residential land,8816.0,2760.3
2021-09-01,Owner-occupier,Total,108208.0,61980.9
2021-12-01,Owner-occupier,"Alterations, additions and repairs",8654.0,1586.8
2021-12-01,Owner-occupier,Construction of dwellings,13288.0,6703.3
2021-12-01,Owner-occupier,External refinancing,63797.0,31436.6
2021-12-01,Owner-occupier,Internal refinancing,33414.0,14033.0
2021-12-01,Owner-occupier,Purchase of existing dwellings,83331.0,50316.9
2021-12-01,Owner-occupier,Purchase of newly erected dwellings,6857.0,3836.5
2021-12-01,Owner-occupier,Purchase of residential land,8435.0,2752.5
2021-12-01,Owner-occupier,Total,103844.0,60905.6
2022-03-01,Owner-occupier,"Alterations, additions and repairs",10023.0,1687.3
2022-03-01,Owner-occupier,Construction of dwellings,12904.0,6772.1
2022-03-01,Owner-occupier,External refinancing,62416.0,31933.8
2022-03-01,Owner-occupier,Internal refinancing,32828.0,13298.5
2022-03-01,Owner-occupier,Purchase of existing dwellings,81447.0,51236.2
2022-03-01,Owner-occupier,Purchase of newly erected dwellings,6381.0,3728.0
2022-03-01,Owner-occupier,Purchase of residential land,7671.0,2690.9
2022-03-01,Owner-occupier,Total,101130.0,61557.3
2022-06-01,Owner-occupier,"Alterations, additions and repairs",10174.0,1797.4
2022-06-01,Owner-occupier,Construction of dwellings,12491.0,6791.3
2022-06-01,Owner-occupier,External refinancing,69819.0,35852.6
2022-06-01,Owner-occupier,Internal refinancing,33119.0,13507.5
2022-06-01,Owner-occupier,Purchase of existing dwellings,75045.0,46065.0
2022-06-01,Owner-occupier,Purchase of newly erected dwellings,5959.0,3417.1
2022-06-01,Owner-occupier,Purchase of residential land,6699.0,2215.2
2022-06-01,Owner-occupier,Total,92566.0,56222.3
2022-09-01,Owner-occupier,"Alterations, additions and repairs",9039.0,1539.9
2022-09-01,Owner-occupier,Construction of dwellings,11598.0,6507.2
2022-09-01,Owner-occupier,External refinancing,72954.0,37219.1
2022-09-01,Owner-occupier,Internal refinancing,29099.0,12326.4
2022-09-01,Owner-occupier,Purchase of existing dwellings,68498.0,41350.7
2022-09-01,Owner-occupier,Purchase of newly erected dwellings,5339.0,3057.9
2022-09-01,Owner-occupier,Purchase of residential land,6479.0,2250.2
2022-09-01,Owner-occupier,Total,85488.0,51091.2
2022-12-01,Owner-occupier,"Alterations, additions and repairs",7813.0,1385.8
2022-12-01,Owner-occupier,Construction of dwellings,10071.0,5893.8
2022-12-01,Owner-occupier,External refinancing,76499.0,38811.9
2022-12-01,Owner-occupier,Internal refinancing,27864.0,11752.3
2022-12-01,Owner-occupier,Purchase of existing dwellings,61934.0,37432.4
2022-12-01,Owner-occupier,Purchase of newly erected dwellings,5164.0,2907.3
2022-12-01,Owner-occupier,Purchase of residential land,5543.0,1923.1
2022-12-01,Owner-occupier,Total,77684.0,46249.4
2023-03-01,Owner-occupier,"Alterations, additions and repairs",7237.0,1237.2
2023-03-01,Owner-occupier,Construction of dwellings,8647.0,5035.5
2023-03-01,Owner-occupier,External refinancing,80326.0,41301.4
2023-03-01,Owner-occupier,Internal refinancing,26234.0,11311.8
2023-03-01,Owner-occupier,Purchase of existing dwellings,60042.0,36149.8
2023-03-01,Owner-occupier,Purchase of newly erected dwellings,4852.0,2785.8
2023-03-01,Owner-occupier,Purchase of residential land,5215.0,1852.2
2023-03-01,Owner-occupier,Total,74022.0,43888.4
2023-06-01,Owner-occupier,"Alterations, additions and repairs",6570.0,1187.8
2023-06-01,Owner-occupier,Construction of dwellings,7828.0,4551.0
2023-06-01,Owner-occupier,External refinancing,81326.0,41243.9
2023-06-01,Owner-occupier,Internal refinancing,24885.0,11132.6
2023-06-01,Owner-occupier,Purchase of existing dwellings,64500.0,36958.3
2023-06-01,Owner-occupier,Purchase of newly erected dwellings,5082.0,2806.8
2023-06-01,Owner-occupier,Purchase of residential land,5397.0,1889.9
2023-06-01,Owner-occupier,Total,76337.0,44251.7
2023-09-01,Owner-occupier,"Alterations, additions and repairs",6298.0,1169.6
2023-09-01,Owner-occupier,Construction of dwellings,7478.0,4404.6
2023-09-01,Owner-occupier,External refinancing,79426.0,41620.1
2023-09-01,Owner-occupier,Internal refinancing,25407.0,11694.0
2023-09-01,Owner-occupier,Purchase of existing dwellings,63019.0,37377.6
2023-09-01,Owner-occupier,Purchase of newly erected dwellings,4687.0,2762.2
2023-09-01,Owner-occupier,Purchase of residential land,5147.0,1790.0
2023-09-01,Owner-occupier,Total,74978.0,44546.5
2023-12-01,Owner-occupier,"Alterations, additions and repairs",6709.0,1231.5
2023-12-01,Owner-occupier,Construction of dwellings,8438.0,5060.9
2023-12-01,Owner-occupier,External refinancing,60760.0,33628.6
2023-12-01,Owner-occupier,Internal refinancing,29963.0,14130.7
2023-12-01,Owner-occupier,Purchase of existing dwellings,66326.0,40853.4
2023-12-01,Owner-occupier,Purchase of newly erected dwellings,4756.0,2842.2
2023-12-01,Owner-occupier,Purchase of residential land,5811.0,2095.5
2023-12-01,Owner-occupier,Total,80254.0,48891.6
2024-03-01,Owner-occupier,"Alterations, additions and repairs",6822.0,1190.1
2024-03-01,Owner-occupier,Construction of dwellings,8376.0,5018.3
2024-03-01,Owner-occupier,External refinancing,53433.0,30413.3
2024-03-01,Owner-occupier,Internal refinancing,30481.0,14708.8
2024-03-01,Owner-occupier,Purchase of existing dwellings,63774.0,39966.5
2024-03-01,Owner-occupier,Purchase of newly erected dwellings,4889.0,3002.3
2024-03-01,Owner-occupier,Purchase of residential land,5398.0,1896.1
2024-03-01,Owner-occupier,Total,77786.0,47954.8
2024-06-01,Owner-occupier,"Alterations, additions and repairs",7022.0,1349.6
2024-06-01,Owner-occupier,Construction of dwellings,9105.0,5504.5
2024-06-01,Owner-occupier,External refinancing,53864.0,31002.5
2024-06-01,Owner-occupier,Internal refinancing,33122.0,16221.7
2024-06-01,Owner-occupier,Purchase of existing dwellings,68849.0,42945.6
2024-06-01,Owner-occupier,Purchase of newly erected dwellings,5478.0,3244.3
2024-06-01,Owner-occupier,Purchase of residential land,5622.0,2022.9
2024-06-01,Owner-occupier,Total,82114.0,51616.6
2024-09-01,Owner-occupier,"Alterations, additions and repairs",7271.0,1410.4
2024-09-01,Owner-occupier,Construction of dwellings,8595.0,5246.5
2024-09-01,Owner-occupier,External refinancing,56472.0,33127.8
2024-09-01,Owner-occupier,Internal refinancing,35086.0,17593.4
2024-09-01,Owner-occupier,Purchase of existing dwellings,69404.0,44695.1
2024-09-01,Owner-occupier,Purchase of newly erected dwellings,4845.0,3144.6
2024-09-01,Owner-occupier,Purchase of residential land,5494.0,2016.7
2024-09-01,Owner-occupier,Total,82445.0,53034.1
2024-12-01,Owner-occupier,"Alterations, additions and repairs",7270.0,1475.0
2024-12-01,Owner-occupier,Construction of dwellings,8731.0,5460.7
2024-12-01,Owner-occupier,External refinancing,61567.0,37270.2
2024-12-01,Owner-occupier,Internal refinancing,38974.0,19852.5
2024-12-01,Owner-occupier,Purchase of existing dwellings,69732.0,46805.5
2024-12-01,Owner-occupier,Purchase of newly erected dwellings,4559.0,3048.7
2024-12-01,Owner-occupier,Purchase of residential land,5312.0,2016.4
2024-12-01,Owner-occupier,Total,83952.0,55464.4
2025-03-01,Owner-occupier,"Alterations, additions and repairs",7086.0,1532.5
2025-03-01,Owner-occupier,Construction of dwellings,8533.0,5337.1
2025-03-01,Owner-occupier,External refinancing,64508.0,39507.4
2025-03-01,Owner-occupier,Internal refinancing,39999.0,21047.8
2025-03-01,Owner-occupier,Purchase of existing dwellings,67733.0,46245.2
2025-03-01,Owner-occupier,Purchase of newly erected dwellings,4262.0,2833.3
2025-03-01,Owner-occupier,Purchase of residential land,5132.0,1967.5
2025-03-01,Owner-occupier,Total,81482.0,54411.9
2025-06-01,Owner-occupier,"Alterations, additions and repairs",7453.0,1651.3
2025-06-01,Owner-occupier,Construction of dwellings,8586.0,5642.8
2025-06-01,Owner-occupier,External refinancing,67011.0,40455.4
2025-06-01,Owner-occupier,Internal refinancing,43330.0,23277.9
2025-06-01,Owner-occupier,Purchase of existing dwellings,70722.0,47259.5
2025-06-01,Owner-occupier,Purchase of newly erected dwellings,4365.0,2790.9
2025-06-01,Owner-occupier,Purchase of residential land,5074.0,2000.0
2025-06-01,Owner-occupier,Total,82240.0,55597.4
2025-09-01,Owner-occupier,"Alterations, additions and repairs",7681.0,1705.7
2025-09-01,Owner-occupier,Construction of dwellings,8263.0,5630.9
2025-09-01,Owner-occupier,External refinancing,67051.0,41305.6
2025-09-01,Owner-occupier,Internal refinancing,45292.0,24780.0
2025-09-01,Owner-occupier,Purchase of existing dwellings,71419.0,49451.0
2025-09-01,Owner-occupier,Purchase of newly erected dwellings,4656.0,3288.0
2025-09-01,Owner-occupier,Purchase of residential land,5589.0,2272.6
2025-09-01,Owner-occupier,Total,83846.0,58228.6
