date,segment,buyer_type,loan_count,loan_value_million
2002-09-01,Investor,Total,,11009.5
2002-09-01,Owner-occupier,First Home Buyer,24529.0,4121.6
2002-09-01,Owner-occupier,Non-First Home Buyer,64722.0,12468.5
2002-09-01,Owner-occupier,Total,89705.0,16698.5
2002-09-01,Total,Total,,27708.0
2002-12-01,Investor,Total,,10978.6
2002-12-01,Owner-occupier,First Home Buyer,23090.0,4045.5
2002-12-01,Owner-occupier,Non-First Home Buyer,65802.0,13125.4
2002-12-01,Owner-occupier,Total,88932.0,17202.2
2002-12-01,Total,Total,,28180.8
2003-03-01,Investor,Total,,12179.5
2003-03-01,Owner-occupier,First Home Buyer,22989.0,4172.1
2003-03-01,Owner-occupier,Non-First Home Buyer,70566.0,14410.9
2003-03-01,Owner-occupier,Total,93663.0,18570.9
2003-03-01,Total,Total,,30750.4
2003-06-01,Investor,Total,,13117.8
2003-06-01,Owner-occupier,First Home Buyer,22351.0,4236.2
2003-06-01,Owner-occupier,Non-First Home Buyer,73482.0,15685.6
2003-06-01,Owner-occupier,Total,95978.0,20009.5
2003-06-01,Total,Total,,33127.3
2003-09-01,Investor,Total,,16164.3
2003-09-01,Owner-occupier,First Home Buyer,22181.0,4479.7
2003-09-01,Owner-occupier,Non-First Home Buyer,76388.0,16899.5
2003-09-01,Owner-occupier,Total,98332.0,21379.9
2003-09-01,Total,Total,,37544.2
2003-12-01,Investor,Total,,16277.6
2003-12-01,Owner-occupier,First Home Buyer,21147.0,4363.8
2003-12-01,Owner-occupier,Non-First Home Buyer,73045.0,16515.9
2003-12-01,Owner-occupier,Total,94320.0,20909.8
2003-12-01,Total,Total,,37187.4
2004-03-01,Investor,Total,,14225.0
2004-03-01,Owner-occupier,First Home Buyer,18264.0,3845.5
2004-03-01,Owner-occupier,Non-First Home Buyer,64919.0,15169.4
2004-03-01,Owner-occupier,Total,83192.0,18993.8
2004-03-01,Total,Total,,33218.9
2004-06-01,Investor,Total,,12936.5
2004-06-01,Owner-occupier,First Home Buyer,19342.0,4301.6
2004-06-01,Owner-occupier,Non-First Home Buyer,61926.0,14984.0
2004-06-01,Owner-occupier,Total,81231.0,19314.5
2004-06-01,Total,Total,,32250.9
2004-09-01,Investor,Total,,12627.6
2004-09-01,Owner-occupier,First Home Buyer,21670.0,4883.1
2004-09-01,Owner-occupier,Non-First Home Buyer,61512.0,15000.8
2004-09-01,Owner-occupier,Total,83231.0,19931.0
2004-09-01,Total,Total,,32558.6
2004-12-01,Investor,Total,,12980.0
2004-12-01,Owner-occupier,First Home Buyer,22716.0,5237.1
2004-12-01,Owner-occupier,Non-First Home Buyer,63166.0,15606.2
2004-12-01,Owner-occupier,Total,85776.0,20813.7
2004-12-01,Total,Total,,33793.7
2005-03-01,Investor,Total,,13937.1
2005-03-01,Owner-occupier,First Home Buyer,24097.0,5577.6
2005-03-01,Owner-occupier,Non-First Home Buyer,65239.0,16360.7
2005-03-01,Owner-occupier,Total,89125.0,21863.1
2005-03-01,Total,Total,,35800.2
2005-06-01,Investor,Total,,13059.4
2005-06-01,Owner-occupier,First Home Buyer,26157.0,6028.4
2005-06-01,Owner-occupier,Non-First Home Buyer,65262.0,16304.4
2005-06-01,Owner-occupier,Total,91078.0,22257.3
2005-06-01,Total,Total,,35316.7
2005-09-01,Investor,Total,,13035.1
2005-09-01,Owner-occupier,First Home Buyer,27210.0,6390.8
2005-09-01,Owner-occupier,Non-First Home Buyer,64446.0,16486.1
2005-09-01,Owner-occupier,Total,91451.0,22864.7
2005-09-01,Total,Total,,35899.9
2005-12-01,Investor,Total,,14003.6
2005-12-01,Owner-occupier,First Home Buyer,28637.0,6819.1
2005-12-01,Owner-occupier,Non-First Home Buyer,65807.0,17062.7
2005-12-01,Owner-occupier,Total,94691.0,23921.0
2005-12-01,Total,Total,,37924.6
2006-03-01,Investor,Total,,14726.4
2006-03-01,Owner-occupier,First Home Buyer,30398.0,7445.1
2006-03-01,Owner-occupier,Non-First Home Buyer,67754.0,17874.1
2006-03-01,Owner-occupier,Total,97717.0,25132.5
2006-03-01,Total,Total,,39858.9
2006-06-01,Investor,Total,,15512.4
2006-06-01,Owner-occupier,First Home Buyer,30458.0,7428.3
2006-06-01,Owner-occupier,Non-First Home Buyer,70199.0,18606.9
2006-06-01,Owner-occupier,Total,100258.0,25908.5
2006-06-01,Total,Total,,41420.9
2006-09-01,Investor,Total,,14541.0
2006-09-01,Owner-occupier,First Home Buyer,29155.0,7122.1
2006-09-01,Owner-occupier,Non-First Home Buyer,70064.0,18707.2
2006-09-01,Owner-occupier,Total,99437.0,25925.0
2006-09-01,Total,Total,,40466.1
2006-12-01,Investor,Total,,13600.9
2006-12-01,Owner-occupier,First Home Buyer,28794.0,7149.9
2006-12-01,Owner-occupier,Non-First Home Buyer,66021.0,18105.5
2006-12-01,Owner-occupier,Total,94692.0,25175.5
2006-12-01,Total,Total,,38776.5
2007-03-01,Investor,Total,,15707.3
2007-03-01,Owner-occupier,First Home Buyer,29388.0,7484.9
2007-03-01,Owner-occupier,Non-First Home Buyer,69668.0,19702.5
2007-03-01,Owner-occupier,Total,98982.0,27081.0
2007-03-01,Total,Total,,42788.3
2007-06-01,Investor,Total,,17712.1
2007-06-01,Owner-occupier,First Home Buyer,30607.0,7955.2
2007-06-01,Owner-occupier,Non-First Home Buyer,73597.0,21788.1
2007-06-01,Owner-occupier,Total,103665.0,29531.7
2007-06-01,Total,Total,,47243.8
2007-09-01,Investor,Total,,17686.0
2007-09-01,Owner-occupier,First Home Buyer,30907.0,8180.9
2007-09-01,Owner-occupier,Non-First Home Buyer,70595.0,21214.2
2007-09-01,Owner-occupier,Total,101650.0,29451.4
2007-09-01,Total,Total,,47137.4
2007-12-01,Investor,Total,,17015.6
2007-12-01,Owner-occupier,First Home Buyer,31265.0,8033.7
2007-12-01,Owner-occupier,Non-First Home Buyer,68827.0,21078.5
2007-12-01,Owner-occupier,Total,100049.0,29007.9
2007-12-01,Total,Total,,46023.5
2008-03-01,Investor,Total,,15656.0
2008-03-01,Owner-occupier,First Home Buyer,28925.0,7384.9
2008-03-01,Owner-occupier,Non-First Home Buyer,62782.0,19326.3
2008-03-01,Owner-occupier,Total,92169.0,26756.9
2008-03-01,Total,Total,,42412.8
2008-06-01,Investor,Total,,13528.0
2008-06-01,Owner-occupier,First Home Buyer,25241.0,6634.3
2008-06-01,Owner-occupier,Non-First Home Buyer,53462.0,16812.1
2008-06-01,Owner-occupier,Total,78221.0,23249.3
2008-06-01,Total,Total,,36777.3
2008-09-01,Investor,Total,,12842.4
2008-09-01,Owner-occupier,First Home Buyer,26077.0,7195.3
2008-09-01,Owner-occupier,Non-First Home Buyer,47400.0,15226.4
2008-09-01,Owner-occupier,Total,73313.0,22370.0
2008-09-01,Total,Total,,35212.4
2008-12-01,Investor,Total,,12501.3
2008-12-01,Owner-occupier,First Home Buyer,30609.0,9043.6
2008-12-01,Owner-occupier,Non-First Home Buyer,46315.0,14966.0
2008-12-01,Owner-occupier,Total,76537.0,23864.9
2008-12-01,Total,Total,,36366.3
2009-03-01,Investor,Total,,12770.7
2009-03-01,Owner-occupier,First Home Buyer,44768.0,13821.4
2009-03-01,Owner-occupier,Non-First Home Buyer,50316.0,16280.4
2009-03-01,Owner-occupier,Total,95377.0,30092.3
2009-03-01,Total,Total,,42863.0
2009-06-01,Investor,Total,,13889.8
2009-06-01,Owner-occupier,First Home Buyer,49499.0,15066.3
2009-06-01,Owner-occupier,Non-First Home Buyer,52801.0,17550.2
2009-06-01,Owner-occupier,Total,101933.0,32399.8
2009-06-01,Total,Total,,46289.6
2009-09-01,Investor,Total,,15547.0
2009-09-01,Owner-occupier,First Home Buyer,44295.0,13440.3
2009-09-01,Owner-occupier,Non-First Home Buyer,56686.0,19323.4
2009-09-01,Owner-occupier,Total,100827.0,32609.8
2009-09-01,Total,Total,,48156.9
2009-12-01,Investor,Total,,15962.2
2009-12-01,Owner-occupier,First Home Buyer,34592.0,10751.5
2009-12-01,Owner-occupier,Non-First Home Buyer,55252.0,19666.3
2009-12-01,Owner-occupier,Total,89686.0,30403.5
2009-12-01,Total,Total,,46365.7
2010-03-01,Investor,Total,,16326.6
2010-03-01,Owner-occupier,First Home Buyer,25100.0,7968.8
2010-03-01,Owner-occupier,Non-First Home Buyer,51476.0,19174.1
2010-03-01,Owner-occupier,Total,76635.0,27059.2
2010-03-01,Total,Total,,43385.8
2010-06-01,Investor,Total,,16352.8
2010-06-01,Owner-occupier,First Home Buyer,20955.0,6642.1
2010-06-01,Owner-occupier,Non-First Home Buyer,50222.0,18869.7
2010-06-01,Owner-occupier,Total,71047.0,25395.8
2010-06-01,Total,Total,,41748.6
2010-09-01,Investor,Total,,15265.4
2010-09-01,Owner-occupier,First Home Buyer,20281.0,6462.8
2010-09-01,Owner-occupier,Non-First Home Buyer,49850.0,18949.2
2010-09-01,Owner-occupier,Total,70454.0,25458.6
2010-09-01,Total,Total,,40724.0
2010-12-01,Investor,Total,,15033.5
2010-12-01,Owner-occupier,First Home Buyer,20017.0,6281.6
2010-12-01,Owner-occupier,Non-First Home Buyer,51251.0,19396.4
2010-12-01,Owner-occupier,Total,70597.0,25511.7
2010-12-01,Total,Total,,40545.1
2011-03-01,Investor,Total,,13979.2
2011-03-01,Owner-occupier,First Home Buyer,19497.0,6131.1
2011-03-01,Owner-occupier,Non-First Home Buyer,48308.0,18413.8
2011-03-01,Owner-occupier,Total,68238.0,24610.0
2011-03-01,Total,Total,,38589.2
2011-06-01,Investor,Total,,13837.3
2011-06-01,Owner-occupier,First Home Buyer,20224.0,6396.2
2011-06-01,Owner-occupier,Non-First Home Buyer,48362.0,18468.1
2011-06-01,Owner-occupier,Total,68766.0,24835.1
2011-06-01,Total,Total,,38672.5
2011-09-01,Investor,Total,,14214.1
2011-09-01,Owner-occupier,First Home Buyer,21071.0,6698.9
2011-09-01,Owner-occupier,Non-First Home Buyer,48193.0,18205.1
2011-09-01,Owner-occupier,Total,69266.0,24826.6
2011-09-01,Total,Total,,39040.6
2011-12-01,Investor,Total,,13896.5
2011-12-01,Owner-occupier,First Home Buyer,24368.0,7528.8
2011-12-01,Owner-occupier,Non-First Home Buyer,46571.0,17076.0
2011-12-01,Owner-occupier,Total,71070.0,24701.0
2011-12-01,Total,Total,,38597.5
2012-03-01,Investor,Total,,15276.9
2012-03-01,Owner-occupier,First Home Buyer,23423.0,7309.6
2012-03-01,Owner-occupier,Non-First Home Buyer,48017.0,17630.3
2012-03-01,Owner-occupier,Total,71907.0,25008.2
2012-03-01,Total,Total,,40285.1
2012-06-01,Investor,Total,,14887.2
2012-06-01,Owner-occupier,First Home Buyer,22465.0,7075.7
2012-06-01,Owner-occupier,Non-First Home Buyer,48054.0,17891.0
2012-06-01,Owner-occupier,Total,70806.0,24947.9
2012-06-01,Total,Total,,39835.0
2012-09-01,Investor,Total,,15117.7
2012-09-01,Owner-occupier,First Home Buyer,23786.0,7587.1
2012-09-01,Owner-occupier,Non-First Home Buyer,48724.0,18290.7
2012-09-01,Owner-occupier,Total,72510.0,25783.3
2012-09-01,Total,Total,,40901.0
2012-12-01,Investor,Total,,15678.1
2012-12-01,Owner-occupier,First Home Buyer,21849.0,7025.3
2012-12-01,Owner-occupier,Non-First Home Buyer,51450.0,19028.4
2012-12-01,Owner-occupier,Total,73162.0,26016.4
2012-12-01,Total,Total,,41694.5
2013-03-01,Investor,Total,,17266.0
2013-03-01,Owner-occupier,First Home Buyer,22061.0,7174.7
2013-03-01,Owner-occupier,Non-First Home Buyer,54187.0,20113.7
2013-03-01,Owner-occupier,Total,76121.0,27224.7
2013-03-01,Total,Total,,44490.7
2013-06-01,Investor,Total,,18846.5
2013-06-01,Owner-occupier,First Home Buyer,23596.0,7556.5
2013-06-01,Owner-occupier,Non-First Home Buyer,58533.0,21329.0
2013-06-01,Owner-occupier,Total,82732.0,28934.2
2013-06-01,Total,Total,,47780.7
2013-09-01,Investor,Total,,19937.1
2013-09-01,Owner-occupier,First Home Buyer,23479.0,7569.3
2013-09-01,Owner-occupier,Non-First Home Buyer,58961.0,21544.7
2013-09-01,Owner-occupier,Total,82380.0,28963.1
2013-09-01,Total,Total,,48900.2
2013-12-01,Investor,Total,,22008.1
2013-12-01,Owner-occupier,First Home Buyer,22963.0,7564.6
2013-12-01,Owner-occupier,Non-First Home Buyer,61941.0,23080.3
2013-12-01,Owner-occupier,Total,84307.0,30521.6
2013-12-01,Total,Total,,52529.6
2014-03-01,Investor,Total,,22423.8
2014-03-01,Owner-occupier,First Home Buyer,22785.0,7713.3
2014-03-01,Owner-occupier,Non-First Home Buyer,60845.0,23393.0
2014-03-01,Owner-occupier,Total,83810.0,31150.5
2014-03-01,Total,Total,,53574.3
2014-06-01,Investor,Total,,22663.2
2014-06-01,Owner-occupier,First Home Buyer,22312.0,7617.1
2014-06-01,Owner-occupier,Non-First Home Buyer,61382.0,23449.2
2014-06-01,Owner-occupier,Total,84397.0,31147.3
2014-06-01,Total,Total,,53810.5
2014-09-01,Investor,Total,,24259.9
2014-09-01,Owner-occupier,First Home Buyer,22459.0,7560.8
2014-09-01,Owner-occupier,Non-First Home Buyer,61588.0,23696.6
2014-09-01,Owner-occupier,Total,83310.0,30931.9
2014-09-01,Total,Total,,55191.8
2014-12-01,Investor,Total,,25406.3
2014-12-01,Owner-occupier,First Home Buyer,22097.0,7429.1
2014-12-01,Owner-occupier,Non-First Home Buyer,61300.0,24045.9
2014-12-01,Owner-occupier,Total,83001.0,31359.2
2014-12-01,Total,Total,,56765.5
2015-03-01,Investor,Total,,25946.6
2015-03-01,Owner-occupier,First Home Buyer,21694.0,7405.0
2015-03-01,Owner-occupier,Non-First Home Buyer,63150.0,24760.4
2015-03-01,Owner-occupier,Total,84847.0,32230.8
2015-03-01,Total,Total,,58177.4
2015-06-01,Investor,Total,,26110.9
2015-06-01,Owner-occupier,First Home Buyer,21006.0,7353.6
2015-06-01,Owner-occupier,Non-First Home Buyer,61575.0,24740.9
2015-06-01,Owner-occupier,Total,83344.0,32224.9
2015-06-01,Total,Total,,58335.8
2015-09-01,Investor,Total,,23228.9
2015-09-01,Owner-occupier,First Home Buyer,20840.0,7391.9
2015-09-01,Owner-occupier,Non-First Home Buyer,66524.0,29340.6
2015-09-01,Owner-occupier,Total,86819.0,36485.5
2015-09-01,Total,Total,,59714.4
2015-12-01,Investor,Total,,18947.5
2015-12-01,Owner-occupier,First Home Buyer,19970.0,7159.5
2015-12-01,Owner-occupier,Non-First Home Buyer,66497.0,29520.5
2015-12-01,Owner-occupier,Total,86397.0,36749.3
2015-12-01,Total,Total,,55696.7
2016-03-01,Investor,Total,,18574.7
2016-03-01,Owner-occupier,First Home Buyer,20295.0,7067.7
2016-03-01,Owner-occupier,Non-First Home Buyer,64122.0,27452.8
2016-03-01,Owner-occupier,Total,84638.0,34685.6
2016-03-01,Total,Total,,53260.3
2016-06-01,Investor,Total,,20282.7
2016-06-01,Owner-occupier,First Home Buyer,21296.0,7362.5
2016-06-01,Owner-occupier,Non-First Home Buyer,66665.0,28396.2
2016-06-01,Owner-occupier,Total,88781.0,35946.2
2016-06-01,Total,Total,,56229.0
2016-09-01,Investor,Total,,22024.1
2016-09-01,Owner-occupier,First Home Buyer,20027.0,7040.7
2016-09-01,Owner-occupier,Non-First Home Buyer,63252.0,27792.4
2016-09-01,Owner-occupier,Total,82555.0,34534.0
2016-09-01,Total,Total,,56558.1
2016-12-01,Investor,Total,,24404.6
2016-12-01,Owner-occupier,First Home Buyer,20016.0,7048.5
2016-12-01,Owner-occupier,Non-First Home Buyer,64296.0,28529.2
2016-12-01,Owner-occupier,Total,84157.0,35624.7
2016-12-01,Total,Total,,60029.3
2017-03-01,Investor,Total,,25164.7
2017-03-01,Owner-occupier,First Home Buyer,20842.0,7271.9
2017-03-01,Owner-occupier,Non-First Home Buyer,68676.0,30146.9
2017-03-01,Owner-occupier,Total,89515.0,37481.6
2017-03-01,Total,Total,,62646.3
2017-06-01,Investor,Total,,22888.3
2017-06-01,Owner-occupier,First Home Buyer,21575.0,7505.5
2017-06-01,Owner-occupier,Non-First Home Buyer,67814.0,30471.5
2017-06-01,Owner-occupier,Total,90144.0,38170.4
2017-06-01,Total,Total,,61058.8
2017-09-01,Investor,Total,,21852.9
2017-09-01,Owner-occupier,First Home Buyer,26347.0,9223.9
2017-09-01,Owner-occupier,Non-First Home Buyer,67187.0,30468.3
2017-09-01,Owner-occupier,Total,93187.0,39595.3
2017-09-01,Total,Total,,61448.2
2017-12-01,Investor,Total,,20422.9
2017-12-01,Owner-occupier,First Home Buyer,26634.0,9550.2
2017-12-01,Owner-occupier,Non-First Home Buyer,63123.0,29434.1
2017-12-01,Owner-occupier,Total,89507.0,38938.4
2017-12-01,Total,Total,,59361.2
2018-03-01,Investor,Total,,19026.4
2018-03-01,Owner-occupier,First Home Buyer,26441.0,9680.9
2018-03-01,Owner-occupier,Non-First Home Buyer,60407.0,28899.4
2018-03-01,Owner-occupier,Total,87168.0,38766.3
2018-03-01,Total,Total,,57792.7
2018-06-01,Investor,Total,,17790.2
2018-06-01,Owner-occupier,First Home Buyer,26054.0,9876.9
2018-06-01,Owner-occupier,Non-First Home Buyer,60131.0,28934.2
2018-06-01,Owner-occupier,Total,86752.0,38932.1
2018-06-01,Total,Total,,56722.3
2018-09-01,Investor,Total,,16942.1
2018-09-01,Owner-occupier,First Home Buyer,25908.0,9657.2
2018-09-01,Owner-occupier,Non-First Home Buyer,57994.0,27582.6
2018-09-01,Owner-occupier,Total,83267.0,37031.3
2018-09-01,Total,Total,,53973.4
2018-12-01,Investor,Total,,15271.7
2018-12-01,Owner-occupier,First Home Buyer,24780.0,9204.5
2018-12-01,Owner-occupier,Non-First Home Buyer,56224.0,25878.0
2018-12-01,Owner-occupier,Total,80920.0,35003.7
2018-12-01,Total,Total,,50275.4
2019-03-01,Investor,Total,,13642.8
2019-03-01,Owner-occupier,First Home Buyer,23550.0,8756.8
2019-03-01,Owner-occupier,Non-First Home Buyer,51703.0,23748.2
2019-03-01,Owner-occupier,Total,75314.0,32634.4
2019-03-01,Total,Total,,46277.2
2019-06-01,Investor,Total,,12924.5
2019-06-01,Owner-occupier,First Home Buyer,24193.0,9275.9
2019-06-01,Owner-occupier,Non-First Home Buyer,49001.0,23134.9
2019-06-01,Owner-occupier,Total,73336.0,32368.5
2019-06-01,Total,Total,,45293.0
2019-09-01,Investor,Total,31159.0,14496.8
2019-09-01,Owner-occupier,First Home Buyer,26927.0,10871.1
2019-09-01,Owner-occupier,Non-First Home Buyer,50434.0,24737.7
2019-09-01,Owner-occupier,Total,77061.0,35489.5
2019-09-01,Total,Total,108220.0,49986.3
2019-12-01,Investor,Total,31471.0,15151.5
2019-12-01,Owner-occupier,First Home Buyer,28624.0,11830.5
2019-12-01,Owner-occupier,Non-First Home Buyer,52318.0,27556.5
2019-12-01,Owner-occupier,Total,80517.0,39214.1
2019-12-01,Total,Total,111987.0,54365.6
2020-03-01,Investor,Total,29580.0,14763.8
2020-03-01,Owner-occupier,First Home Buyer,28982.0,12225.4
2020-03-01,Owner-occupier,Non-First Home Buyer,50284.0,27179.5
2020-03-01,Owner-occupier,Total,80137.0,39906.7
2020-03-01,Total,Total,109717.0,54670.5
2020-06-01,Investor,Total,24145.0,12177.3
2020-06-01,Owner-occupier,First Home Buyer,26882.0,11509.5
2020-06-01,Owner-occupier,Non-First Home Buyer,43638.0,23591.3
2020-06-01,Owner-occupier,Total,70543.0,34981.3
2020-06-01,Total,Total,94688.0,47158.6
2020-09-01,Investor,Total,29218.0,14279.0
2020-09-01,Owner-occupier,First Home Buyer,37977.0,15282.2
2020-09-01,Owner-occupier,Non-First Home Buyer,53039.0,29095.9
2020-09-01,Owner-occupier,Total,90187.0,44043.4
2020-09-01,Total,Total,119405.0,58322.5
2020-12-01,Investor,Total,31915.0,16063.5
2020-12-01,Owner-occupier,First Home Buyer,42715.0,17788.2
2020-12-01,Owner-occupier,Non-First Home Buyer,60281.0,33525.4
2020-12-01,Owner-occupier,Total,103304.0,51423.8
2020-12-01,Total,Total,135219.0,67487.3
2021-03-01,Investor,Total,37792.0,20108.1
2021-03-01,Owner-occupier,First Home Buyer,48028.0,20435.1
2021-03-01,Owner-occupier,Non-First Home Buyer,70636.0,39897.1
2021-03-01,Owner-occupier,Total,119246.0,60877.0
2021-03-01,Total,Total,157038.0,80985.1
2021-06-01,Investor,Total,43335.0,23852.3
2021-06-01,Owner-occupier,First Home Buyer,42595.0,19242.6
2021-06-01,Owner-occupier,Non-First Home Buyer,72186.0,43421.6
2021-06-01,Owner-occupier,Total,114551.0,62251.1
2021-06-01,Total,Total,157887.0,86103.4
2021-09-01,Investor,Total,49553.0,27657.5
2021-09-01,Owner-occupier,First Home Buyer,38033.0,17406.2
2021-09-01,Owner-occupier,Non-First Home Buyer,70634.0,44818.8
2021-09-01,Owner-occupier,Total,108208.0,61980.9
2021-09-01,Total,Total,157762.0,89638.4
2021-12-01,Investor,Total,52474.0,30501.3
2021-12-01,Owner-occupier,First Home Buyer,35403.0,16669.5
2021-12-01,Owner-occupier,Non-First Home Buyer,68470.0,44190.2
2021-12-01,Owner-occupier,Total,103844.0,60905.6
2021-12-01,Total,Total,156318.0,91406.9
2022-03-01,Investor,Total,52787.0,32750.4
2022-03-01,Owner-occupier,First Home Buyer,33240.0,15840.1
2022-03-01,Owner-occupier,Non-First Home Buyer,66990.0,44915.0
2022-03-01,Owner-occupier,Total,101130.0,61557.3
2022-03-01,Total,Total,153917.0,94307.7
2022-06-01,Investor,Total,49072.0,29463.5
2022-06-01,Owner-occupier,First Home Buyer,30591.0,14848.7
2022-06-01,Owner-occupier,Non-First Home Buyer,62282.0,41872.2
2022-06-01,Owner-occupier,Total,92566.0,56222.3
2022-06-01,Total,Total,141638.0,85685.9
2022-09-01,Investor,Total,43379.0,25439.6
2022-09-01,Owner-occupier,First Home Buyer,28823.0,13884.7
2022-09-01,Owner-occupier,Non-First Home Buyer,57391.0,37636.3
2022-09-01,Owner-occupier,Total,85488.0,51091.2
2022-09-01,Total,Total,128867.0,76530.8
2022-12-01,Investor,Total,39378.0,23130.8
2022-12-01,Owner-occupier,First Home Buyer,26428.0,12818.1
2022-12-01,Owner-occupier,Non-First Home Buyer,50764.0,33036.9
2022-12-01,Owner-occupier,Total,77684.0,46249.4
2022-12-01,Total,Total,117061.0,69380.2
2023-03-01,Investor,Total,36560.0,22381.2
2023-03-01,Owner-occupier,First Home Buyer,26361.0,12781.7
2023-03-01,Owner-occupier,Non-First Home Buyer,47408.0,30729.9
2023-03-01,Owner-occupier,Total,74022.0,43888.4
2023-03-01,Total,Total,110583.0,66269.7
2023-06-01,Investor,Total,39006.0,23029.6
2023-06-01,Owner-occupier,First Home Buyer,27717.0,13934.2
2023-06-01,Owner-occupier,Non-First Home Buyer,48927.0,30802.2
2023-06-01,Owner-occupier,Total,76337.0,44251.7
2023-06-01,Total,Total,115343.0,67281.2
2023-09-01,Investor,Total,40130.0,24473.5
2023-09-01,Owner-occupier,First Home Buyer,27028.0,13476.4
2023-09-01,Owner-occupier,Non-First Home Buyer,48284.0,31262.9
2023-09-01,Owner-occupier,Total,74978.0,44546.5
2023-09-01,Total,Total,115109.0,69019.9
2023-12-01,Investor,Total,43224.0,26563.4
2023-12-01,Owner-occupier,First Home Buyer,29749.0,15237.3
2023-12-01,Owner-occupier,Non-First Home Buyer,50040.0,33240.7
2023-12-01,Owner-occupier,Total,80254.0,48891.6
2023-12-01,Total,Total,123478.0,75455.0
2024-03-01,Investor,Total,43771.0,28259.5
2024-03-01,Owner-occupier,First Home Buyer,28239.0,14583.5
2024-03-01,Owner-occupier,Non-First Home Buyer,48851.0,32659.2
2024-03-01,Owner-occupier,Total,77786.0,47954.8
2024-03-01,Total,Total,121558.0,76214.3
2024-06-01,Investor,Total,50054.0,31455.7
2024-06-01,Owner-occupier,First Home Buyer,29581.0,15921.6
2024-06-01,Owner-occupier,Non-First Home Buyer,52885.0,36293.3
2024-06-01,Owner-occupier,Total,82114.0,51616.6
2024-06-01,Total,Total,132168.0,83072.3
2024-09-01,Investor,Total,51322.0,33516.1
2024-09-01,Owner-occupier,First Home Buyer,29380.0,15736.9
2024-09-01,Owner-occupier,Non-First Home Buyer,53413.0,37701.6
2024-09-01,Owner-occupier,Total,82445.0,53034.1
2024-09-01,Total,Total,133766.0,86550.2
2024-12-01,Investor,Total,48991.0,32478.3
2024-12-01,Owner-occupier,First Home Buyer,29617.0,16015.4
2024-12-01,Owner-occupier,Non-First Home Buyer,54096.0,39033.4
2024-12-01,Owner-occupier,Total,83952.0,55464.4
2024-12-01,Total,Total,132942.0,87942.7
2025-03-01,Investor,Total,47899.0,32947.8
2025-03-01,Owner-occupier,First Home Buyer,28458.0,15418.3
2025-03-01,Owner-occupier,Non-First Home Buyer,52288.0,38228.8
2025-03-01,Owner-occupier,Total,81482.0,54411.9
2025-03-01,Total,Total,129381.0,87359.7
2025-06-01,Investor,Total,50718.0,33816.0
2025-06-01,Owner-occupier,First Home Buyer,28970.0,16272.3
2025-06-01,Owner-occupier,Non-First Home Buyer,53680.0,40016.5
2025-06-01,Owner-occupier,Total,82240.0,55597.4
2025-06-01,Total,Total,132958.0,89413.4
2025-09-01,Investor,Total,57624.0,39776.5
2025-09-01,Owner-occupier,First Home Buyer,29637.0,16458.9
2025-09-01,Owner-occupier,Non-First Home Buyer,55171.0,42481.6
2025-09-01,Owner-occupier,Total,83846.0,58228.6
2025-09-01,Total,Total,141470.0,98005.1
